City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
375,Atherton,GB,70.29,overcast clouds,53.5237,-2.4935,The Mercury Motel
376,Surt,LY,82.9,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
377,Calabozo,VE,89.65,scattered clouds,8.9242,-67.4293,Hotel Giardini
380,Narathiwat,TH,75.36,overcast clouds,6.3333,101.75,MUSOR
381,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
382,Caravelas,BR,75.88,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
383,Asilah,MA,75.16,clear sky,35.465,-6.0348,Hotel Zelis
384,Luan,CH,72.23,few clouds,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
386,Ippy,CF,70.47,light rain,6.2679,21.2247,
388,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
389,Ixtapa,MX,89.22,broken clouds,20.7,-105.2,hotel la terminal
397,Fare,PF,78.35,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
401,Gigmoto,PH,80.47,overcast clouds,13.7796,124.39,Cj's Travellers Inn
402,Mae Ramat,TH,79.81,few clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
406,Progreso,MX,89.71,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
407,Mutata,CO,81.88,light rain,7.2441,-76.4356,RESIDENCIA ZULIMA
408,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
410,Kamenka,RU,73.6,overcast clouds,51.3223,42.7678,
411,Noshiro,JP,70.92,broken clouds,40.2039,140.0242,Suigetsu
412,Kavaratti,IN,80.82,broken clouds,10.5669,72.642,Green leaf
413,Pincher Creek,CA,77.45,clear sky,49.4833,-113.952,BLUE MOUNTAIN MOTEL
414,Kyaikto,MM,81.95,scattered clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
415,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
416,Muros,ES,80.17,clear sky,42.7762,-9.0603,Apartment Av. Castelao
417,Karaton,ID,73.33,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
419,Sucua,EC,75.94,moderate rain,-2.4667,-78.1667,Finca el Piura
421,Great Falls,US,79.99,few clouds,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
423,San Mateo Del Mar,MX,83.07,overcast clouds,16.2,-95.0,
424,Shimoda,JP,77.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
427,Santos Dumont,BR,71.11,few clouds,-21.4567,-43.5525,Country Hotel e Leiteria São Luiz
429,Galle,LK,77.11,moderate rain,6.0367,80.217,Amangalla
431,Charkhi Dadri,IN,88.29,light rain,28.6,76.2667,Ombir Sheoran
434,Touros,BR,81.32,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
435,Tucuman,AR,78.8,smoke,-26.8241,-65.2226,Dallas Hotel Tucuman
436,Torbay,CA,70.88,overcast clouds,47.6666,-52.7314,Gallows Cove
437,Teguise,ES,73.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
438,Jiangyou,CN,74.7,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
439,Severnyy,RU,75.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
441,Bridgetown,BB,88.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
443,Sao Joao Do Paraiso,BR,80.47,clear sky,-15.3136,-42.0144,Avenida Palace Hotel
447,Meulaboh,ID,75.65,overcast clouds,4.1363,96.1285,Kost Pria
448,Xiongyue,CN,75.0,overcast clouds,40.1774,122.1228,Samsung Business Hotel
449,Makokou,GA,75.74,overcast clouds,0.5738,12.8642,Hôtel
452,Urucara,BR,89.15,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
453,La Macarena,CO,73.56,overcast clouds,2.1837,-73.7849,Casa Hotel Real
457,Eston,CA,74.91,clear sky,51.1501,-108.7514,Hearthside Place B&B
458,Mbandaka,CD,74.7,overcast clouds,0.0487,18.2603,Guest House Epervier
459,Carmelo,UY,75.0,overcast clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
461,Apalit,PH,83.14,moderate rain,14.95,120.7833,Hotel Impressa
462,Mahibadhoo,MV,82.78,overcast clouds,3.7833,72.9667,Omadhoo Inn
463,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
464,Hobyo,SO,76.5,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
466,Linping,CN,82.94,broken clouds,30.4225,120.2972,Super 8 Hangzhou Linping Subway Station
467,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
468,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
469,Jieshi,CN,84.06,few clouds,22.8134,115.8257,Yuehai Hotel
470,Pangkalanbuun,ID,73.92,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
471,Yokadouma,CM,70.68,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
472,Lardos,GR,82.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
477,Tecoanapa,MX,85.48,overcast clouds,16.5167,-98.75,Hotel Manglares
478,Sao Borja,BR,85.95,overcast clouds,-28.6606,-56.0044,Hotel Executivo
482,Bar Harbor,US,82.94,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
483,Wethersfield,US,87.03,scattered clouds,41.7143,-72.6526,Best Western Hartford Hotel & Suites
485,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
486,Zhanakorgan,KZ,83.32,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
487,Jiangkou,CN,79.88,broken clouds,25.4872,119.1986,DFM Hotel
489,Hurghada,EG,87.84,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
490,Laguna,US,89.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
492,Zhangye,CN,74.16,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
493,Yamada,JP,71.58,overcast clouds,39.4667,141.95,Iroha-ya Inn
494,Cantagallo,CO,86.58,broken clouds,7.376,-73.9196,Apartahotel Altamira
496,Spirit River,CA,82.83,clear sky,55.7833,-118.8361,Motel 49
497,Macomer,IT,76.39,clear sky,40.262,8.7699,B&B La Casa Antica
500,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
508,Aleksandrov Gay,RU,78.67,light rain,50.147,48.5704,Gostinitsa
509,Vallenar,CL,70.99,scattered clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
510,Canton,CN,87.87,clear sky,23.1167,113.25,Shangjiuwan Hotel
511,Uturoa,PF,78.51,light rain,-16.7333,-151.4333,Villa Tonoï
512,Guymon,US,89.6,clear sky,36.6828,-101.4816,Simple Rewards
513,Banikoara,BJ,80.4,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
515,Boyolangu,ID,72.3,broken clouds,-8.1181,111.8935,Yos ega cv
516,Ndele,CF,72.23,light rain,8.4109,20.6473,
518,Marzuq,YE,84.15,broken clouds,14.4,46.4667,
519,Sampit,ID,73.53,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
520,Balotra,IN,83.89,overcast clouds,25.8333,72.2333,Hotel City Square
521,Rayagada,IN,77.7,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
523,Terra Nova,BR,79.38,broken clouds,-12.3667,-40.6667,
524,Pasighat,IN,77.05,overcast clouds,28.0667,95.3333,Siang Guest House
526,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
529,Kibala,TD,73.58,overcast clouds,9.1104,18.3463,Prasant Hotels
530,Marfino,RU,78.94,clear sky,55.7028,37.3822,Nemchinovka-Park
533,Lohardaga,IN,76.03,moderate rain,23.4333,84.6833,Shorya Sweet Palace
534,Axim,GH,76.66,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
536,Vaitape,PF,78.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
537,Metro,ID,74.95,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
538,El Alto,PE,74.86,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
539,Ponta Grossa,BR,71.62,broken clouds,-25.095,-50.1619,Hotel Ponta Grossa Plateau
544,Sai Buri,TH,77.43,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
546,Kirakira,SB,77.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
548,Akyab,MM,82.96,overcast clouds,20.15,92.9,Hotel Memory
549,Catuday,PH,81.36,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
551,Foca,TR,85.87,clear sky,38.6703,26.7566,Huri&Nuri Hotel
552,Cao Bang,VN,75.43,broken clouds,22.6667,106.25,khách sạn 88
553,Meadow Lake,US,88.61,few clouds,34.8014,-106.5436,TumbleWeed RV Park
561,Mossendjo,CG,74.32,scattered clouds,-2.9506,12.7261,HOTEL D'ASSISE
562,Aioi,JP,81.36,overcast clouds,34.8036,134.4681,Toyoko Inn Aioi-eki Shinkansen-guchi
564,Luis Correia,BR,87.8,few clouds,-2.8792,-41.6669,Hotel Amarração
565,Itarema,BR,84.02,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
566,Praia Da Vitoria,PT,78.76,broken clouds,38.7333,-27.0667,Hotel Branco I
567,Nedryhayliv,UA,71.64,broken clouds,50.834,33.8763,Staryi Mlyn
571,Kaliua,TZ,77.11,overcast clouds,-5.0606,31.7936,Millennium Complex
572,Kumluca,TR,85.95,clear sky,36.3703,30.2869,Akkol Apart
574,Chateauneuf-Les-Martigues,FR,88.32,clear sky,43.3833,5.1667,Hotel Restaurant L'Hacienda
575,Jiehu,CN,73.85,broken clouds,35.5428,118.455,Jixiang Hotel
576,Ryotsu,JP,75.24,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
577,Mae Chan,TH,78.46,few clouds,20.1467,99.8526,Kiang Dao Resort
578,Kharakvasla,IN,73.38,overcast clouds,18.4333,73.7667,Savali Resort
580,Bijela,BA,75.85,moderate rain,43.6086,17.9519,Garden City Konjic
581,Puerto Ayacucho,VE,83.55,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
584,Humberto De Campos,BR,85.44,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
585,San Quintin,MX,73.44,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
587,Tsybuliv,UA,71.71,overcast clouds,49.0766,29.8461,
589,Katghora,IN,80.22,overcast clouds,22.5,82.55,Mr.K.D. Mahant
590,Nha Trang,VN,78.8,broken clouds,12.25,109.1833,Hanoi Golden Hotel
592,Benguela,AO,70.3,broken clouds,-12.5763,13.4055,Hotel Praia Morena
597,Kasiri,SL,80.78,overcast clouds,8.9412,-13.1148,
599,Bardiyah,LY,80.8,clear sky,31.7561,25.0865,بورتو بردية
600,Kinshasa,CD,82.6,broken clouds,-4.3246,15.3215,Star Hotel II
604,Kindu,CD,77.95,broken clouds,-2.95,25.95,Résidence Okanda
605,Iralaya,HN,84.29,scattered clouds,15.0,-83.2333,Iglesia morava renovada
607,Biltine,TD,89.04,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
609,Palauig,PH,81.64,heavy intensity rain,15.435,119.9045,Villa Raphael Resort
610,Fomboni,KM,75.99,scattered clouds,-12.28,43.7425,Auberge les abou
611,Birjand,IR,88.27,few clouds,32.8663,59.2211,Birjand Tourist Hotel
612,Ormara,PK,82.62,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
613,Kikwit,CD,82.71,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
614,North Bend,US,77.23,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
615,Erzin,TR,78.35,clear sky,36.9559,36.2,Artemis Otel
616,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
617,Nan,TH,75.29,clear sky,18.8333,100.6667,สะเนียน2
621,Camacari,BR,73.17,broken clouds,-12.6975,-38.3242,Sítio Blasi
623,Lucea,JM,89.85,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
624,Zhumadian,CN,76.08,heavy intensity rain,32.9794,114.0294,Ouyue House Hotel
625,Kaduqli,SD,73.69,overcast clouds,11.0167,29.7167,Nussyba
626,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
630,Badulla,LK,70.54,overcast clouds,6.9895,81.0557,Budget comfort holiday
639,Bandar-E Lengeh,IR,87.91,broken clouds,26.5579,54.8807,کافی نت پارس
641,Kihei,US,80.83,few clouds,20.785,-156.4656,Maui Sunset
643,Sur,OM,82.42,few clouds,22.5667,59.5289,Sur Plaza Hotel
645,Imbituba,BR,75.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
649,Krasnoarmeysk,RU,72.5,scattered clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
650,Bud,US,83.75,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
651,Beaverlodge,CA,79.95,clear sky,55.2166,-119.4361,Side Trax Inn
653,Arona,ES,74.12,clear sky,28.0996,-16.681,Paradise Court
654,Asau,RO,72.52,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
655,Beitbridge,ZW,70.66,clear sky,-22.2167,30.0,Beitbridge Express Hotel
660,Padang,ID,77.27,scattered clouds,-0.9492,100.3543,Mercure Padang
664,Gijon,ES,71.83,few clouds,43.5357,-5.6615,Hotel Norte
667,Kyabe,TD,73.35,overcast clouds,9.4515,18.9449,
669,Kieta,PG,78.08,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
670,Woodstock,CA,79.02,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
671,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
672,Zhelyabovka,UA,72.52,clear sky,45.3988,34.7578,
674,Agadir,MA,86.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
676,Trieste,IT,85.86,overcast clouds,45.6486,13.78,Hotel NH Trieste
677,Montrose,US,74.61,overcast clouds,38.4166,-108.2673,
678,Makaha,US,82.31,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
679,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
680,Nhulunbuy,AU,72.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
